method_DELETE,method_GET,method_POST,method_PUT,src_is_private,dst_is_private,both_private,src_network_segment,url_length,url_depth,url_param_count,url_contains_admin,url_contains_login,url_contains_api,url_contains_dashboard,url_contains_profile,url_contains_upload,url_contains_download,url_contains_register,url_contains_password,url_contains_secret,url_special_chars,url_upper_ratio,url_has_encoded,body_length,body_is_empty,contains_sql,contains_xss,contains_traversal,contains_rce,contains_include,contains_serialized,contains_csrf,body_entropy,likely_base64,has_binary_data,ua_length,is_firefox,is_chrome,is_safari,is_windows,is_mac,is_linux,is_mobile,is_bot,post_with_body,get_with_body,deep_sensitive,total_attack_features,has_multiple_attacks
0,1,0,0,1,1,1,10,42,2,2,0,0,1,0,0,0,0,0,0,0,4,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,10,19,1,1,0,0,0,0,0,0,0,0,0,0,2,0.05263157894736842,0,56,0,0,0,1,0,1,0,0,4.54317657349562,0,0,50,0,0,0,0,0,1,0,0,56,0,0,2,1
0,0,1,0,1,1,1,10,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,21,0,0,0,0,0,0,0,0,3.3087513512471665,0,0,66,0,0,0,0,1,0,0,0,21,0,0,0,0
0,1,0,0,1,1,1,10,137,6,3,0,0,1,0,0,0,0,0,0,0,14,0.2773722627737226,1,0,1,0,0,0,0,0,0,0,0.0,0,0,60,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,1,1,1,10,18,1,1,0,0,0,1,0,0,0,0,0,0,2,0.0,0,70,0,0,0,0,0,0,0,0,4.337255382713193,0,0,60,0,0,0,1,0,0,0,0,70,0,0,0,0
0,0,1,0,1,1,1,10,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,531,0,0,0,0,0,0,0,0,5.287252883303392,0,0,60,0,0,0,1,0,0,0,0,531,0,0,0,0
1,0,0,0,1,1,1,10,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,10,33,2,3,0,0,0,0,0,0,0,0,0,0,6,0.0,0,111,0,0,0,0,0,0,0,0,4.208421540383797,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,27,2,1,0,0,1,0,0,0,0,0,0,0,2,0.037037037037037035,1,0,1,0,0,0,0,0,0,0,0.0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,1,1,10,36,1,2,0,1,0,0,0,0,0,0,0,0,4,0.08333333333333333,1,0,1,0,0,0,0,0,0,0,0.0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0
